index,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence
141,Evil Man,Eyes Like The Sky,King Gizzard & The Lizard Wizard,2/15/2013,233560,32,0.473,0.593,0.473,0.766,0.0354,6,0.517,-5.847,0.0381,94.392,4,0.523
142,Fort Whipple,Eyes Like The Sky,King Gizzard & The Lizard Wizard,2/15/2013,176493,29,0.444,0.597,0.444,0.934,0.000203,4,0.111,-5.091,0.229,94.788,4,0.454
143,The God Man's Goat Lust,Eyes Like The Sky,King Gizzard & The Lizard Wizard,2/15/2013,197120,29,0.236,0.317,0.236,0.835,0.15,7,0.187,-4.97,0.0459,177.67,4,0.414
144,The Killing Ground,Eyes Like The Sky,King Gizzard & The Lizard Wizard,2/15/2013,169880,28,0.419,0.581,0.419,0.609,0.000335,7,0.935,-8.239,0.199,86.319,4,0.386
145,Dust In The Wind,Eyes Like The Sky,King Gizzard & The Lizard Wizard,2/15/2013,143560,28,0.348,0.46,0.348,0.912,1.17E-06,1,0.828,-8.536,0.135,135.253,3,0.339
146,Guns & Horses,Eyes Like The Sky,King Gizzard & The Lizard Wizard,2/15/2013,68253,28,0.504,0.655,0.504,0.824,0.00385,2,0.358,-8.004,0.0724,122.453,4,0.48
147,Elbow,12 Bar Bruise,King Gizzard & The Lizard Wizard,9/7/2012,159880,34,0.243,1.81E-05,0.243,0.878,0.419,9,0.141,-5.673,0.0566,176.999,4,0.259
148,Muckraker,12 Bar Bruise,King Gizzard & The Lizard Wizard,9/7/2012,180400,35,0.197,9.94E-06,0.197,0.896,0.879,4,0.143,-4.866,0.0601,127.048,4,0.458
149,Nein,12 Bar Bruise,King Gizzard & The Lizard Wizard,9/7/2012,172000,33,0.174,0.00028,0.174,0.97,0.819,9,0.227,-4.208,0.111,126.428,4,0.24
150,12 Bar Bruise,12 Bar Bruise,King Gizzard & The Lizard Wizard,9/7/2012,227253,32,0.361,0.01,0.361,0.943,0.0808,9,0.198,-5.344,0.062,113.106,4,0.363
151,Garage Liddiard,12 Bar Bruise,King Gizzard & The Lizard Wizard,9/7/2012,149373,30,0.231,0.000303,0.231,0.877,0.00018,11,0.322,-4.62,0.0777,158.364,4,0.485
152,Sam Cherry's Last Shot,12 Bar Bruise,King Gizzard & The Lizard Wizard,9/7/2012,168826,29,0.262,0.495,0.262,0.793,2.63E-05,4,0.13,-7.204,0.0728,89.564,4,0.479
153,High Hopes Low,12 Bar Bruise,King Gizzard & The Lizard Wizard,9/7/2012,225893,30,0.294,0.00501,0.294,0.927,0.83,5,0.174,-2.297,0.0895,112.059,4,0.328
154,Cut Throat Boogie,12 Bar Bruise,King Gizzard & The Lizard Wizard,9/7/2012,170026,33,0.218,7.23E-05,0.218,0.794,0.809,2,0.201,-6.059,0.0498,99.829,4,0.287
155,Bloody Ripper,12 Bar Bruise,King Gizzard & The Lizard Wizard,9/7/2012,133386,31,0.275,3.40E-05,0.275,0.787,0,6,0.114,-7.069,0.0356,126.764,4,0.328
156,"Uh Oh, I Called Mum",12 Bar Bruise,King Gizzard & The Lizard Wizard,9/7/2012,157906,31,0.104,7.39E-05,0.104,0.972,0.462,9,0.565,-4.476,0.255,190.55,4,0.292
157,Sea of Trees,12 Bar Bruise,King Gizzard & The Lizard Wizard,9/7/2012,194586,29,0.221,6.15E-06,0.221,0.723,0.905,0,0.0902,-4.036,0.039,85.63,4,0.376
158,Footy Footy,12 Bar Bruise,King Gizzard & The Lizard Wizard,9/7/2012,119360,29,0.131,0.000391,0.131,0.951,0.0282,2,0.336,-4.865,0.229,187.614,4,0.686
