index,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence
32,Deserted Dunes Welcome Weary Feet,Polygondwanaland,King Gizzard & The Lizard Wizard,11/21/2017,213924,35,0.358,0.00443,0.358,0.841,0.763,4,0.184,-9.227,0.0414,102.289,4,0.527
33,Inner Cell,Polygondwanaland,King Gizzard & The Lizard Wizard,11/21/2017,235711,36,0.344,0.00534,0.344,0.684,0.786,6,0.301,-10.736,0.0391,97.375,4,0.66
34,Loyalty,Polygondwanaland,King Gizzard & The Lizard Wizard,11/21/2017,218867,37,0.552,0.0595,0.552,0.714,0.566,6,0.156,-8.568,0.0286,115.395,4,0.448
35,Horology,Polygondwanaland,King Gizzard & The Lizard Wizard,11/21/2017,172211,35,0.621,0.308,0.621,0.618,0.198,11,0.131,-7.48,0.0451,165.248,4,0.934
36,Tetrachromacy,Polygondwanaland,King Gizzard & The Lizard Wizard,11/21/2017,210741,34,0.62,0.526,0.62,0.527,0.73,4,0.302,-9.529,0.0315,109.896,4,0.962
37,Searching...,Polygondwanaland,King Gizzard & The Lizard Wizard,11/21/2017,183546,33,0.744,0.747,0.744,0.451,0.935,6,0.219,-10.911,0.0361,111.971,3,0.226
38,The Fourth Colour,Polygondwanaland,King Gizzard & The Lizard Wizard,11/21/2017,372444,36,0.283,0.0372,0.283,0.635,0.33,4,0.386,-10.128,0.0485,130.607,4,0.0774
39,Sketches Of Brunswick East I,Sketches of Brunswick East,King Gizzard & The Lizard Wizard,8/18/2017,80000,35,0.423,0.909,0.423,0.458,0.871,4,0.327,-14.9,0.051,117.194,3,0.187
40,Countdown,Sketches of Brunswick East,King Gizzard & The Lizard Wizard,8/18/2017,202720,43,0.403,0.313,0.403,0.752,0.00134,9,0.48,-7.026,0.037,157.07,3,0.355
41,D-Day,Sketches of Brunswick East,King Gizzard & The Lizard Wizard,8/18/2017,99440,34,0.432,0.013,0.432,0.754,0.0348,11,0.292,-7.225,0.0347,170.635,1,0.378
42,Tezeta,Sketches of Brunswick East,King Gizzard & The Lizard Wizard,8/18/2017,210840,40,0.348,0.0621,0.348,0.797,6.90E-05,2,0.759,-7.858,0.0987,169.562,3,0.229
43,"Cranes, Planes, Migraines",Sketches of Brunswick East,King Gizzard & The Lizard Wizard,8/18/2017,75373,34,0.56,0.00936,0.56,0.874,0.915,4,0.646,-7.928,0.0513,105.145,3,0.518
44,The Spider And Me,Sketches of Brunswick East,King Gizzard & The Lizard Wizard,8/18/2017,196026,40,0.249,0.18,0.249,0.874,6.70E-05,4,0.416,-6.627,0.0839,177.006,3,0.464
45,Sketches Of Brunswick East II,Sketches of Brunswick East,King Gizzard & The Lizard Wizard,8/18/2017,205653,37,0.459,0.758,0.459,0.527,0.782,0,0.375,-12.218,0.0304,110.008,3,0.278
46,Dusk To Dawn On Lygon Street,Sketches of Brunswick East,King Gizzard & The Lizard Wizard,8/18/2017,182986,34,0.299,0.38,0.299,0.724,0.035,11,0.164,-6.233,0.0441,48.316,4,0.437
47,The Book,Sketches of Brunswick East,King Gizzard & The Lizard Wizard,8/18/2017,299093,34,0.521,0.0106,0.521,0.902,0.497,11,0.866,-6.876,0.0469,141.223,4,0.669
48,A Journey To (S)Hell,Sketches of Brunswick East,King Gizzard & The Lizard Wizard,8/18/2017,136533,32,0.297,0.0232,0.297,0.858,0.81,0,0.406,-5.427,0.0671,103.621,4,0.399
49,Rolling Stoned,Sketches of Brunswick East,King Gizzard & The Lizard Wizard,8/18/2017,198040,41,0.291,0.445,0.291,0.652,0.926,5,0.668,-8.123,0.0295,89.186,4,0.409
50,You Can Be Your Silhouette,Sketches of Brunswick East,King Gizzard & The Lizard Wizard,8/18/2017,229840,35,0.615,0.226,0.615,0.71,0.00176,1,0.315,-7.542,0.0543,134.736,4,0.365
51,Sketches Of Brunswick East III,Sketches of Brunswick East,King Gizzard & The Lizard Wizard,8/18/2017,128572,31,0.434,0.427,0.434,0.501,0.0246,10,0.315,-14.376,0.116,52.191,3,0.345
52,A New World,Murder of the Universe,King Gizzard & The Lizard Wizard,6/23/2017,57253,33,0.324,0.536,0.324,0.405,0.0592,2,0.679,-6.108,0.031,55.927,5,0.29
53,Altered Beast I,Murder of the Universe,King Gizzard & The Lizard Wizard,6/23/2017,143853,36,0.399,0.00328,0.399,0.915,0.03,2,0.408,-3.656,0.0956,103.307,3,0.303
54,Alter Me I,Murder of the Universe,King Gizzard & The Lizard Wizard,6/23/2017,45533,32,0.364,0.000377,0.364,0.879,0.297,2,0.148,-3.849,0.0666,100.355,4,0.261
55,Altered Beast II,Murder of the Universe,King Gizzard & The Lizard Wizard,6/23/2017,268706,34,0.268,0.0779,0.268,0.805,0.0304,2,0.307,-5.067,0.0823,87.22,4,0.538
56,Alter Me II,Murder of the Universe,King Gizzard & The Lizard Wizard,6/23/2017,85853,32,0.37,0.000967,0.37,0.801,0.111,2,0.331,-5.992,0.0456,95.639,4,0.3
57,Altered Beast III,Murder of the Universe,King Gizzard & The Lizard Wizard,6/23/2017,134533,32,0.364,0.0589,0.364,0.85,0.00855,2,0.604,-4.149,0.0554,101.205,3,0.498
58,Alter Me III,Murder of the Universe,King Gizzard & The Lizard Wizard,6/23/2017,86413,31,0.493,0.222,0.493,0.812,0.552,2,0.525,-7.158,0.0443,93.906,4,0.0382
59,Altered Beast IV,Murder of the Universe,King Gizzard & The Lizard Wizard,6/23/2017,310706,32,0.514,0.0614,0.514,0.839,0.0009,5,0.596,-5.787,0.0841,103.214,3,0.136
60,Life / Death,Murder of the Universe,King Gizzard & The Lizard Wizard,6/23/2017,59186,30,0.166,0.0225,0.166,0.654,0.66,3,0.334,-6.417,0.0527,87.488,4,0.124
61,Some Context,Murder of the Universe,King Gizzard & The Lizard Wizard,6/23/2017,16506,0,0.217,4.02E-05,0.217,0.526,0.695,2,0.761,-7.089,0.0624,114.356,3,0
62,The Reticent Raconteur,Murder of the Universe,King Gizzard & The Lizard Wizard,6/23/2017,65080,31,0.329,0.912,0.329,0.531,0.651,2,0.292,-7.96,0.0368,114.941,4,0.19
63,The Lord of Lightning,Murder of the Universe,King Gizzard & The Lizard Wizard,6/23/2017,307440,37,0.264,0.00402,0.264,0.859,0.000781,9,0.416,-4.316,0.0721,97.697,4,0.103
64,The Balrog,Murder of the Universe,King Gizzard & The Lizard Wizard,6/23/2017,269133,32,0.325,0.013,0.325,0.9,0.000835,9,0.154,-4.136,0.0906,106.076,4,0.205
65,The Floating Fire,Murder of the Universe,King Gizzard & The Lizard Wizard,6/23/2017,114333,30,0.198,0.00821,0.198,0.871,0.222,0,0.213,-4.64,0.0781,98.954,4,0.164
66,The Acrid Corpse,Murder of the Universe,King Gizzard & The Lizard Wizard,6/23/2017,60760,29,0.355,0.422,0.355,0.647,0.103,2,0.29,-9.956,0.0437,45.947,4,0.198
67,Welcome to an Altered Future,Murder of the Universe,King Gizzard & The Lizard Wizard,6/23/2017,55133,30,0.237,0.836,0.237,0.812,0.497,9,0.477,-6.358,0.0532,130.764,4,0.0464
68,Digital Black,Murder of the Universe,King Gizzard & The Lizard Wizard,6/23/2017,166640,35,0.169,0.000892,0.169,0.922,0.000273,2,0.399,-3.449,0.0848,140.9,4,0.169
69,"Han-Tyumi, The Confused Cyborg",Murder of the Universe,King Gizzard & The Lizard Wizard,6/23/2017,141800,31,0.452,0.247,0.452,0.852,0.00881,4,0.181,-6.288,0.2,144.248,4,0.577
70,Soy-Protein Munt Machine,Murder of the Universe,King Gizzard & The Lizard Wizard,6/23/2017,30453,29,0.358,0.106,0.358,0.827,0.943,9,0.698,-6.687,0.103,127.192,4,0.358
71,Vomit Coffin,Murder of the Universe,King Gizzard & The Lizard Wizard,6/23/2017,139013,31,0.497,0.191,0.497,0.892,0.00903,2,0.788,-5.711,0.086,126.499,1,0.366
72,Murder of the Universe,Murder of the Universe,King Gizzard & The Lizard Wizard,6/23/2017,249653,30,0.243,0.0804,0.243,0.975,0.653,5,0.0963,-3.977,0.19,130.934,1,0.25
73,Rattlesnake,Flying Microtonal Banana,King Gizzard & The Lizard Wizard,2/24/2017,468093,46,0.582,0.0309,0.582,0.962,0.841,11,0.346,-5.924,0.0388,170.555,4,0.814
74,Melting,Flying Microtonal Banana,King Gizzard & The Lizard Wizard,2/24/2017,327333,37,0.598,0.732,0.598,0.857,0.684,11,0.262,-8.355,0.0391,120.922,4,0.91
75,Open Water,Flying Microtonal Banana,King Gizzard & The Lizard Wizard,2/24/2017,433880,38,0.319,0.0393,0.319,0.975,0.886,7,0.391,-6.066,0.0806,130.931,4,0.263
76,Sleep Drifter,Flying Microtonal Banana,King Gizzard & The Lizard Wizard,2/24/2017,284853,39,0.449,0.576,0.449,0.837,0.843,4,0.123,-6.656,0.0398,157.797,3,0.445
77,Billabong Valley,Flying Microtonal Banana,King Gizzard & The Lizard Wizard,2/24/2017,214626,40,0.312,0.681,0.312,0.828,0.0488,7,0.242,-5.624,0.0499,146.816,4,0.572
78,Anoxia,Flying Microtonal Banana,King Gizzard & The Lizard Wizard,2/24/2017,184106,37,0.457,0.0322,0.457,0.831,0.0286,4,0.611,-5.208,0.0402,78.82,4,0.819
79,Doom City,Flying Microtonal Banana,King Gizzard & The Lizard Wizard,2/24/2017,194080,37,0.299,0.356,0.299,0.834,0.128,6,0.137,-5.73,0.0564,161.293,1,0.352
80,Nuclear Fusion,Flying Microtonal Banana,King Gizzard & The Lizard Wizard,2/24/2017,255453,42,0.39,0.343,0.39,0.78,0.801,11,0.165,-6.255,0.0411,86.363,4,0.586
81,Flying Microtonal Banana,Flying Microtonal Banana,King Gizzard & The Lizard Wizard,2/24/2017,154146,34,0.415,0.268,0.415,0.667,0.913,1,0.12,-4.331,0.0362,90.8,1,0.35
82,Robot Stop,Nonagon Infinity,King Gizzard & The Lizard Wizard,4/29/2016,322171,46,0.465,0.00565,0.465,0.988,0.198,9,0.86,-5.301,0.11,97.92,4,0.315
83,Big Fig Wasp,Nonagon Infinity,King Gizzard & The Lizard Wizard,4/29/2016,294839,42,0.415,0.00102,0.415,0.891,0.739,11,0.875,-5.442,0.0468,96.283,4,0.512
84,Gamma Knife,Nonagon Infinity,King Gizzard & The Lizard Wizard,4/29/2016,261463,44,0.317,0.00129,0.317,0.916,0.554,2,0.391,-5.321,0.0458,103.989,3,0.533
85,People-Vultures,Nonagon Infinity,King Gizzard & The Lizard Wizard,4/29/2016,285960,42,0.291,5.56E-05,0.291,0.935,0.628,2,0.791,-4.681,0.0803,104.802,3,0.15
86,Mr. Beat,Nonagon Infinity,King Gizzard & The Lizard Wizard,4/29/2016,296116,40,0.609,0.0709,0.609,0.844,0.732,9,0.132,-6.146,0.0322,127.188,1,0.687
87,Evil Death Roll,Nonagon Infinity,King Gizzard & The Lizard Wizard,4/29/2016,434172,39,0.273,0.00682,0.273,0.974,0.843,2,0.348,-5.028,0.124,99.965,4,0.275
88,Invisible Face,Nonagon Infinity,King Gizzard & The Lizard Wizard,4/29/2016,181100,37,0.405,0.0585,0.405,0.774,0.956,9,0.17,-6.39,0.038,110.807,4,0.508
89,Wah Wah,Nonagon Infinity,King Gizzard & The Lizard Wizard,4/29/2016,174306,38,0.201,0.0159,0.201,0.743,0.386,4,0.879,-5.241,0.0458,173.014,5,0.459
